measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2007,1.04992603669,2.10438981928,0.1178121012
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2008,25.97774663095375,52.1311866054005,2.840208532307769
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2008,0.97695489799,1.9605171617,0.10681279159
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2009,24.43309515435432,49.91714510598261,2.673602548931277
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2009,0.9010281677199999,1.84081277909,0.09859541702
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2010,24.0337299803222,48.848366932136855,2.667863633751499
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2010,0.86956958475,1.76739333361,0.0965265514
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2011,24.87540268941335,51.33824082220266,2.771747956731261
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2011,0.8832999455699999,1.8229680897999998,0.09842191702
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2012,24.990480025929564,51.242519597128265,2.824128405770001
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2012,0.8709520890199999,1.7858712375,0.09842470141
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2013,26.662438619620836,55.45582080409007,2.981559502653032
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2013,0.91205337794,1.89700084873,0.10199147402
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2014,26.36224929390506,54.71805994828495,2.923624776229828
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2014,0.8852845045300001,1.8375158375200003,0.09817977527999999
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2015,25.959851598833037,54.10128323548855,2.7544174369521093
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2015,0.8561910879500001,1.78433364215,0.09084442001
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2016,23.77192265753952,50.04644727890784,2.6093758044337587
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2016,0.77055371963,1.62222789719,0.0845814729
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2017,20.498911342909093,44.75861428454285,2.2271560140489965
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2017,0.65361556839,1.4271454043,0.07101371481
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2018,17.628116766462902,39.96951163494201,1.912907617352429
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2018,0.5532878775200001,1.25450985781,0.060039799459999994
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2019,15.415354787895971,36.09749284140703,1.5586906535530582
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2019,0.47656196447,1.1159452596200001,0.04818654453
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2020,17.911935382920632,39.98812154881708,1.9259237844147097
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2020,0.5457674693,1.2184175206699999,0.058681908309999996
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2021,12.965797363797732,29.947444586693077,1.321062771168107
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2021,0.38957741975,0.8998172547900001,0.03969337259
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,1,Number,1990,34.933957424970025,79.65627703193002,2.8443737894961547
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,3,Rate,1990,1.9789265565399998,4.51234081772,0.1611270879
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,1,Number,1991,34.349143655951075,75.92619915682882,3.110512393155796
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,3,Rate,1991,1.9083458434200002,4.21825498822,0.17281168508
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,1,Number,1992,34.837160787894284,75.13868251365282,3.143853968621249
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,3,Rate,1992,1.8946849981,4.08655961954,0.17098445499
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,1,Number,1993,36.87388516083089,77.61275229264831,3.492395916235016
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,3,Rate,1993,1.96053365311,4.1265630707600005,0.18568587752
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,1,Number,1994,37.47487730169841,77.80306024388909,3.848892192075205
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,3,Rate,1994,1.9458172866799999,4.03978746508,0.19984697753000003
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,1,Number,1995,38.431059781126045,85.65299929955609,3.6354412243642695
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,3,Rate,1995,1.94683218393,4.3389908224300004,0.18416338292
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,1,Number,1996,38.23041006761167,81.07798106347175,4.043088538820856
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,3,Rate,1996,1.8877921189500002,4.0035765612,0.19964501208
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,1,Number,1997,40.440941535370776,82.29439424582819,4.574243515733877
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,3,Rate,1997,1.94560577862,3.9591671933,0.22006595987
1,Deaths,567,Utah,3,Both,22,All ages,322,Lower respiratory infections,85,Air pollution,1,Number,1998,39.94710231195914,77.78357804442575,4.778004560141973
